Site ID	Name	Principal Investigator	Data Use Policy	AmeriFlux BASE Data	AmeriFlux FLUXNET Data	Vegetation Abbreviation (IGBP)	Vegetation Description (IGBP)	Climate Class Abbreviation (Koeppen)	Climate Class Description (Koeppen)	Mean Average Precipitation (mm)	Mean Average Temperature (degrees C)	Country	Latitude (degrees)	Longitude (degrees)	Elevation (m)	Years of AmeriFlux BASE Data	AmeriFlux BASE DOI	Years of AmeriFlux FLUXNET Data	AmeriFlux FLUXNET DOI	Site Start	Site End	BASE variables available	FLUXNET variables available
"BR-Ma2"	"Manaus - ZF2 K34"	"Alessandro Araujo (alessandro.araujo@gmail.com)"	"Legacy"	"No"	"No"	"EBF"	"Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage."	"Af"	"Tropical rain forest"	"2252"	"26.68"	"Brazil"	"-2.6091"	"-60.2093"	"130"	""	"https://doi.org/"	""	"https://doi.org/"	"1999"	""	""	""
"BR-Npw"	"Northern Pantanal Wetland"	"Paulo Arruda (paulo.zanella@gmail.com)"	"CC-BY-4.0"	"Yes"	"Yes"	"WSA"	"Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters."	"Aw"	"Tropical savanna"	"1486"	"24.9"	"Brazil"	"-16.4980"	"-56.4120"	"120"	"2013, 2014, 2015, 2016, 2017"	"https://doi.org/10.17190/AMF/1579716"	"2013, 2014, 2015, 2016, 2017"	"https://doi.org/10.17190/AMF/1881563"	"2013"	""	"CH4, CO2, FC, FCH4, G, H, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, WD, WS, WTD"	""
"BR-PRS"	"Paraíso do Sul"	"Débora Roberti (debora@ufsm.br)"	"Legacy"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"1500"	"21"	"Brazil"	"-29.7440"	"-53.1503"	""	""	"https://doi.org/"	""	"https://doi.org/"	"2003"	"2004"	""	""
"BR-Sa1"	"Santarem-Km67-Primary Forest"	"Scott Saleska (saleska@email.arizona.edu)"	"CC-BY-4.0"	"Yes"	"No"	"EBF"	"Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage."	"Am"	"Tropical monsoon"	"2074.79"	"26.13"	"Brazil"	"-2.8567"	"-54.9589"	"88"	"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011"	"https://doi.org/10.17190/AMF/1245994"	""	"https://doi.org/"	"2002"	""	"CO2, FC, H, H2O, LE, NEE, NETRAD, PA, PPFD_IN, RECO, RH, SC, TA, USTAR, VPD, WD, WS"	""
"BR-Sa3"	"Santarem-Km83-Logged Forest"	"Mike Goulden (mgoulden@uci.edu)"	"CC-BY-4.0"	"Yes"	"No"	"EBF"	"Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage."	"Am"	"Tropical monsoon"	"2043.77"	"26.12"	"Brazil"	"-3.0180"	"-54.9714"	"100"	"2000, 2001, 2002, 2003, 2004"	"https://doi.org/10.17190/AMF/1245995"	""	"https://doi.org/"	"2000"	"2003"	"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS"	""
"BR-SP1"	"Southern Pantanal Wetland"	"Thiago Rangel Rodrigues (thiago.r.rodrigues@ufms.br)"	"Legacy"	"No"	"No"	"WSA"	"Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters."	"Aw"	"Tropical savanna"	"850"	"25"	"Brazil"	"-19.5650"	"-57.0180"	"90"	""	"https://doi.org/"	""	"https://doi.org/"	"2023"	""	""	""
"CA-AF1"	"Acadia Research Forest"	"Manuel Helbig (manuel.helbig@dal.ca)"	"CC-BY-4.0"	"No"	"No"	"MF"	"Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"1078"	"5.6"	"Canada"	"46.0092"	"-66.3627"	"78"	""	"https://doi.org/"	""	"https://doi.org/"	"2023"	""	""	""
"CA-ARB"	"Attawapiskat River Bog"	"Elyn Humphreys (elynhumphreys@cunet.carleton.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"700"	"-1.3"	"Canada"	"52.6950"	"-83.9452"	"90"	"2011, 2012, 2013, 2014, 2015"	"https://doi.org/10.17190/AMF/1480319"	"2011, 2012, 2013, 2014, 2015"	"https://doi.org/10.17190/AMF/1902821"	"2010"	""	"ALB, CO2, D_SNOW, FC, G, H, LE, LW_IN, LW_OUT, MO_LENGTH, P, PA, RH, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL"	""
"CA-ARF"	"Attawapiskat River Fen"	"Elyn Humphreys (elynhumphreys@cunet.carleton.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"700"	"-1.3"	"Canada"	"52.7008"	"-83.9550"	"88"	"2011, 2012, 2013, 2014, 2015"	"https://doi.org/10.17190/AMF/1480318"	"2011, 2012, 2013, 2014, 2015"	"https://doi.org/10.17190/AMF/1902822"	"2010"	""	"ALB, CO2, D_SNOW, FC, G, H, LE, LW_IN, LW_OUT, MO_LENGTH, P, PA, RH, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL"	""
"CA-BOU"	"Bouleau Peatland"	"Michelle Garneau (garneau.michelle@uqam.ca)"	"CC-BY-4.0"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Cwc"	"Temperate Highland: dry winter, cool summer"	"1011"	"1.5"	"Canada"	"50.5244"	"-63.2064"	"108"	"2018, 2019, 2020"	"https://doi.org/10.17190/AMF/1987599"	""	"https://doi.org/"	"2018"	"2020"	"ALB, CH4, CO2, CO2_MIXING_RATIO, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, G, GPP, H, H2O, H2O_MIXING_RATIO, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, PA, PPFD_IN, P_RAIN, RECO, RH, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, USTAR, VPD, WD, WS, WS_MAX, WTD, ZL"	""
"CA-Ca1"	"British Columbia - 1949 Douglas-fir stand"	"T. Andrew Black (andrew.black@ubc.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Cfb"	"Marine West Coast: mild with no dry season, warm summer"	"1369"	"9.93"	"Canada"	"49.8673"	"-125.3336"	"300"	"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010"	"https://doi.org/10.17190/AMF/1480300"	"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010"	"https://doi.org/10.17190/AMF/2007163"	"1997"	""	"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_BC_IN, PPFD_DIF, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SB, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, T_SONIC, USTAR, WD, WS"	""
"CA-Ca2"	"British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000)"	"T. Andrew Black (andrew.black@ubc.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Cfb"	"Marine West Coast: mild with no dry season, warm summer"	"1474"	"9.86"	"Canada"	"49.8705"	"-125.2909"	"300"	"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010"	"https://doi.org/10.17190/AMF/1480301"	"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010"	"https://doi.org/10.17190/AMF/2007164"	"2000"	""	"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SB, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, USTAR, WD, WS"	""
"CA-Ca3"	"British Columbia - Pole sapling Douglas-fir stand"	"T. Andrew Black (andrew.black@ubc.ca)"	"CC-BY-4.0"	"Yes"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Cfb"	"Marine West Coast: mild with no dry season, warm summer"	"1676"	"9.94"	"Canada"	"49.5346"	"-124.9004"	""	"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"	"https://doi.org/10.17190/AMF/1480302"	""	"https://doi.org/"	"2001"	""	"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SB, SC, SG, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA"	""
"CA-Cbo"	"Ontario - Mixed Deciduous, Borden Forest Site"	"Ralf Staebler (Ralf.Staebler@ec.gc.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"DBF"	"Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"876.34"	"6.66"	"Canada"	"44.3167"	"-79.9333"	"120"	"1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"	"https://doi.org/10.17190/AMF/1498755"	"1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"	"https://doi.org/10.17190/AMF/1854365"	"1995"	""	"CO2, CO2_SIGMA, FC, FO3, G, H, H2O, LE, LEAF_WET, LW_IN, LW_OUT, NEE, NETRAD, O3, PA, PPFD_IN, PPFD_OUT, RH, SC, SO2, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, T_SONIC, USTAR, WD, WS, W_SIGMA"	""
"CA-CF1"	"Churchill Fen Site 1"	"Tim Papakyriakou (Tim.papakyriakou@umanitoba.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"452"	"-6.5"	"Canada"	"58.6658"	"-93.8300"	"16.5"	"2007, 2008"	"https://doi.org/10.17190/AMF/1660336"	"2007, 2008"	"https://doi.org/10.17190/AMF/2229375"	"2007"	"2008"	"CO2, FC, H, H2O, LE, NETRAD, PA, PPFD_IN, P_RAIN, RH, SW_IN, TA, TS, USTAR, WD, WS"	""
"CA-CF2"	"Churchill Fen Site 2"	"Mario Tenuta (Mario.Tenuta@umanitoba.ca)"	"CC-BY-4.0"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"452"	"-6.5"	"Canada"	"58.6658"	"-93.8300"	"16.5"	"2008, 2009, 2010, 2011"	"https://doi.org/10.17190/AMF/1634879"	""	"https://doi.org/"	"2008"	"2011"	"CH4, CO2, FC, FCH4, H, H2O, LE, NETRAD, PA, PPFD_IN, P_RAIN, RH, SW_IN, TA, TS, USTAR, WD, WS"	""
"CA-CF3"	"Churchill Fen Site 3"	"Kyle Arndt (karndt@woodwellclimate.org)"	"CC-BY-4.0"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	""	""	"Canada"	"58.6658"	"-93.8304"	"25"	""	"https://doi.org/"	""	"https://doi.org/"	"2022"	""	""	""
"CA-Cha"	"New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3)"	"Charles Bourque (cbourque@unb.ca)"	"CC-BY-4.0"	"Yes"	"No"	"MF"	"Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"971.68"	"3.46"	"Canada"	"45.8847"	"-67.3569"	"341"	"2004, 2005"	"https://doi.org/10.17190/AMF/1436317"	""	"https://doi.org/"	"2004"	"2005"	"FC, G, H, LE, NETRAD, PA, PPFD_IN, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, WD, WS"	""
"CA-DB2"	"Delta Burns Bog 2"	"Sara Knox (sara.knox@ubc.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	""	""	""	""	"Canada"	"49.1190"	"-122.9951"	"4"	"2019, 2020"	"https://doi.org/10.17190/AMF/1811362"	"2019, 2020"	"https://doi.org/10.17190/AMF/1881564"	"2019"	""	"CO2, FC, FCH4, G, H, LE, LW_IN, LW_OUT, NETRAD, P, PA, RH, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, WD, WS, WTD"	""
"CA-DBB"	"Delta Burns Bog"	"Sara Knox (sara.knox@ubc.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Csb"	"Mediterranean: mild with dry, warm summer"	"1128"	"10"	"Canada"	"49.1293"	"-122.9849"	"4"	"2014, 2015, 2016, 2017, 2018, 2019, 2020"	"https://doi.org/10.17190/AMF/1543378"	"2014, 2015, 2016, 2017, 2018, 2019, 2020"	"https://doi.org/10.17190/AMF/1881565"	"2014"	""	"CO2, FC, FCH4, G, H, LE, LW_IN, LW_OUT, NETRAD, P, PA, RH, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, WD, WS, WTD"	""
"CA-DL1"	"Daring Lake - Mixed Tundra"	"Peter Lafleur (plafleur@trentu.ca)"	"CC-BY-4.0"	"No"	"No"	"OSH"	"Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"250"	"-9"	"Canada"	"64.8689"	"-111.5748"	"425"	""	"https://doi.org/"	""	"https://doi.org/"	"2004"	""	""	""
"CA-DL2"	"Daring Lake - Fen"	"Peter Lafleur (plafleur@trentu.ca)"	"CC-BY-4.0"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"250"	"-9"	"Canada"	"64.8648"	"-111.5677"	"416"	""	"https://doi.org/"	""	"https://doi.org/"	"2006"	""	""	""
"CA-DSM"	"Delta Salt Marsh"	"Sara Knox (sara.knox@ubc.ca)"	"CC-BY-4.0"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Csb"	"Mediterranean: mild with dry, warm summer"	"1077.8"	"10.6"	"Canada"	"49.0887"	"-122.8954"	""	"2022"	"https://doi.org/10.17190/AMF/1964085"	""	"https://doi.org/"	"2021"	""	"ALB, CH4, CO2, COND_WATER, DO, FC, FCH4, G, H, H2O, LE, LW_IN, LW_OUT, NDVI, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, PRI, RH, SC, SCH4, SH, SLE, SW_IN, SW_OUT, TA, TAU, TS, TW, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD"	""
"CA-EM1"	"Newdale Manitoba"	"Pascal Badiou (p_badiou@ducks.ca)"	"CC-BY-4.0"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"504.8"	"1.3"	"Canada"	"50.3623"	"-100.2024"	"607.9"	""	"https://doi.org/"	""	"https://doi.org/"	"2021"	""	""	""
"CA-EM2"	"Shoal Lake Manitoba"	"Pascal Badiou (p_badiou@ducks.ca)"	"CC-BY-4.0"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"473.4"	"1.5"	"Canada"	"50.3706"	"-100.5339"	"554.3"	""	"https://doi.org/"	""	"https://doi.org/"	"2021"	""	""	""
"CA-EM3"	"Oak Hammock Marsh Manitoba"	"Pascal Badiou (p_badiou@ducks.ca)"	"CC-BY-4.0"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"521.1"	"3"	"Canada"	"50.1738"	"-97.1231"	"255"	""	"https://doi.org/"	""	"https://doi.org/"	"2023"	""	""	""
